Variants,Trace,No of occurance,Key,Case_Duration_days,Date,User,Activity,Role,Product_hierarchy,NetValue,Company,Delivery,Delivery_Date,Good_Issue_Date,Difference,Customer,OrderType,clientCode,NotInTime,Delayed,PromiseMAD,ActualMAD,Execution_Status,User_Type,Change_Status,ID_Change_Status,Block_Status,ID_Block_Status,Local_Family_code,Last Activity,First Activity
1,Line Creation,3340,7020029138_10,0,2016-04-01 14:17:04,User3,Line Creation,Customer Service Representative,TLC Optical Cables,0.0,767,,,0.0,,Customer 4,US-Std. Order,0070100186,0,IN TIME,0.0,1451862000000.0,Manual,Human,no change ,Without change,no block ,Without block,LocalFamily10,Line Creation,Line Creation
1,Line Creation,3340,7020029140_10,0,2016-04-01 14:17:57,User3,Line Creation,Customer Service Representative,TLC Optical Cables,3089.6,767,,,0.0,,Customer 4,US-Std. Order,0070100186,0,IN TIME,0.0,1451862000000.0,Manual,Human,no change ,Without change,no block ,Without block,LocalFamily14,Line Creation,Line Creation
1,Line Creation,3340,7020029140_100,0,2016-04-01 14:19:02,User3,Line Creation,Customer Service Representative,TLC Optical Cables,3010.8,767,,,0.0,,Customer 4,US-Std. Order,0070100186,0,IN TIME,0.0,1451862000000.0,Manual,Human,no change ,Without change,no block ,Without block,LocalFamily16,Line Creation,Line Creation
1,Line Creation,3340,7020029140_110,0,2016-04-01 14:19:08,User3,Line Creation,Customer Service Representative,TLC Optical Cables,3512.6,767,,,0.0,,Customer 4,US-Std. Order,0070100186,0,IN TIME,0.0,1451862000000.0,Manual,Human,no change ,Without change,no block ,Without block,LocalFamily16,Line Creation,Line Creation
1,Line Creation,3340,7020029140_120,0,2016-04-01 14:19:16,User3,Line Creation,Customer Service Representative,TLC Optical Cables,3763.5,767,,,0.0,,Customer 4,US-Std. Order,0070100186,0,IN TIME,0.0,1451862000000.0,Manual,Human,no change ,Without change,no block ,Without block,LocalFamily16,Line Creation,Line Creation
1,Line Creation,3340,7020029140_130,0,2016-04-01 14:19:23,User3,Line Creation,Customer Service Representative,TLC Optical Cables,4634.4,767,,,0.0,,Customer 4,US-Std. Order,0070100186,0,IN TIME,0.0,1451862000000.0,Manual,Human,no change ,Without change,no block ,Without block,LocalFamily14,Line Creation,Line Creation
1,Line Creation,3340,7020029140_140,0,2016-04-01 14:19:30,User3,Line Creation,Customer Service Representative,TLC Optical Cables,5020.6,767,,,0.0,,Customer 4,US-Std. Order,0070100186,0,IN TIME,0.0,1451862000000.0,Manual,Human,no change ,Without change,no block ,Without block,LocalFamily14,Line Creation,Line Creation
1,Line Creation,3340,7020029140_150,0,2016-04-01 14:19:37,User3,Line Creation,Customer Service Representative,TLC Optical Cables,5406.8,767,,,0.0,,Customer 4,US-Std. Order,0070100186,0,IN TIME,0.0,1451862000000.0,Manual,Human,no change ,Without change,no block ,Without block,LocalFamily14,Line Creation,Line Creation
1,Line Creation,3340,7020029140_30,0,2016-04-01 14:18:14,User3,Line Creation,Customer Service Representative,TLC Optical Cables,2703.4,767,,,0.0,,Customer 4,US-Std. Order,0070100186,0,IN TIME,0.0,1451862000000.0,Manual,Human,no change ,Without change,no block ,Without block,LocalFamily14,Line Creation,Line Creation
1,Line Creation,3340,7020029140_40,0,2016-04-01 14:18:23,User3,Line Creation,Customer Service Representative,TLC Optical Cables,2471.68,767,,,0.0,,Customer 4,US-Std. Order,0070100186,0,IN TIME,0.0,1451862000000.0,Manual,Human,no change ,Without change,no block ,Without block,LocalFamily14,Line Creation,Line Creation
1,Line Creation,3340,7020029140_50,0,2016-04-01 14:18:30,User3,Line Creation,Customer Service Representative,TLC Optical Cables,2317.2,767,,,0.0,,Customer 4,US-Std. Order,0070100186,0,IN TIME,0.0,1451862000000.0,Manual,Human,no change ,Without change,no block ,Without block,LocalFamily14,Line Creation,Line Creation
1,Line Creation,3340,7020029140_80,0,2016-04-01 14:18:48,User3,Line Creation,Customer Service Representative,TLC Optical Cables,2509.0,767,,,0.0,,Customer 4,US-Std. Order,0070100186,0,IN TIME,0.0,1451862000000.0,Manual,Human,no change ,Without change,no block ,Without block,LocalFamily16,Line Creation,Line Creation
1,Line Creation,3340,7020029140_90,0,2016-04-01 14:18:55,User3,Line Creation,Customer Service Representative,TLC Optical Cables,3010.8,767,,,0.0,,Customer 4,US-Std. Order,0070100186,0,IN TIME,0.0,1451862000000.0,Manual,Human,no change ,Without change,no block ,Without block,LocalFamily16,Line Creation,Line Creation
1,Line Creation,3340,7020029142_10,0,2016-04-01 14:21:04,User3,Line Creation,Customer Service Representative,TLC Optical Cables,2368.29,767,,,0.0,,Customer 4,US-Std. Order,0070100186,0,IN TIME,0.0,1455490800000.0,Manual,Human,no change ,Without change,no block ,Without block,LocalFamily16,Line Creation,Line Creation
1,Line Creation,3340,7020029142_100,0,2016-04-01 14:22:06,User3,Line Creation,Customer Service Representative,TLC Optical Cables,3677.08,767,,,0.0,,Customer 4,US-Std. Order,0070100186,0,IN TIME,0.0,1451862000000.0,Manual,Human,no change ,Without change,no block ,Without block,LocalFamily14,Line Creation,Line Creation
1,Line Creation,3340,7020029142_110,0,2016-04-01 14:22:12,User3,Line Creation,Customer Service Representative,TLC Optical Cables,4617.24,767,,,0.0,,Customer 4,US-Std. Order,0070100186,0,IN TIME,0.0,1451862000000.0,Manual,Human,no change ,Without change,no block ,Without block,LocalFamily14,Line Creation,Line Creation
1,Line Creation,3340,7020029142_120,0,2016-04-01 14:22:19,User3,Line Creation,Customer Service Representative,TLC Optical Cables,1809.48,767,,,0.0,,Customer 4,US-Std. Order,0070100186,0,IN TIME,0.0,1455490800000.0,Manual,Human,no change ,Without change,no block ,Without block,LocalFamily16,Line Creation,Line Creation
1,Line Creation,3340,7020029142_130,0,2016-04-01 14:22:25,User3,Line Creation,Customer Service Representative,TLC Optical Cables,2288.46,767,,,0.0,,Customer 4,US-Std. Order,0070100186,0,IN TIME,0.0,1455490800000.0,Manual,Human,no change ,Without change,no block ,Without block,LocalFamily16,Line Creation,Line Creation
1,Line Creation,3340,7020029142_140,0,2016-04-01 14:22:30,User3,Line Creation,Customer Service Representative,TLC Optical Cables,1671.4,767,,,0.0,,Customer 4,US-Std. Order,0070100186,0,IN TIME,0.0,1451862000000.0,Manual,Human,no change ,Without change,no block ,Without block,LocalFamily14,Line Creation,Line Creation
1,Line Creation,3340,7020029142_150,0,2016-04-01 14:22:37,User3,Line Creation,Customer Service Representative,TLC Optical Cables,4178.5,767,,,0.0,,Customer 4,US-Std. Order,0070100186,0,IN TIME,0.0,1451862000000.0,Manual,Human,no change ,Without change,no block ,Without block,LocalFamily14,Line Creation,Line Creation
1,Line Creation,3340,7020029142_160,0,2016-04-01 14:22:44,User3,Line Creation,Customer Service Representative,TLC Optical Cables,2674.24,767,,,0.0,,Customer 4,US-Std. Order,0070100186,0,IN TIME,0.0,1451862000000.0,Manual,Human,no change ,Without change,no block ,Without block,LocalFamily14,Line Creation,Line Creation
1,Line Creation,3340,7020029142_170,0,2016-04-01 14:22:51,User3,Line Creation,Customer Service Representative,TLC Optical Cables,2924.95,767,,,0.0,,Customer 4,US-Std. Order,0070100186,0,IN TIME,0.0,1451862000000.0,Manual,Human,no change ,Without change,no block ,Without block,LocalFamily14,Line Creation,Line Creation
1,Line Creation,3340,7020029142_180,0,2016-04-01 14:22:57,User3,Line Creation,Customer Service Representative,TLC Optical Cables,2005.68,767,,,0.0,,Customer 4,US-Std. Order,0070100186,0,IN TIME,0.0,1451862000000.0,Manual,Human,no change ,Without change,no block ,Without block,LocalFamily14,Line Creation,Line Creation
1,Line Creation,3340,7020029142_190,0,2016-04-01 14:23:03,User3,Line Creation,Customer Service Representative,TLC Optical Cables,3008.52,767,,,0.0,,Customer 4,US-Std. Order,0070100186,0,IN TIME,0.0,1451862000000.0,Manual,Human,no change ,Without change,no block ,Without block,LocalFamily14,Line Creation,Line Creation
1,Line Creation,3340,7020029142_20,0,2016-04-01 14:21:15,User3,Line Creation,Customer Service Representative,TLC Optical Cables,2980.32,767,,,0.0,,Customer 4,US-Std. Order,0070100186,0,IN TIME,0.0,1455490800000.0,Manual,Human,no change ,Without change,no block ,Without block,LocalFamily16,Line Creation,Line Creation
1,Line Creation,3340,7020029142_200,0,2016-04-01 14:23:10,User3,Line Creation,Customer Service Representative,TLC Optical Cables,1671.4,767,,,0.0,,Customer 4,US-Std. Order,0070100186,0,IN TIME,0.0,1451862000000.0,Manual,Human,no change ,Without change,no block ,Without block,LocalFamily14,Line Creation,Line Creation
1,Line Creation,3340,7020029142_210,0,2016-04-01 14:23:17,User3,Line Creation,Customer Service Representative,TLC Optical Cables,3217.45,767,,,0.0,,Customer 4,US-Std. Order,0070100186,0,IN TIME,0.0,1451862000000.0,Manual,Human,no change ,Without change,no block ,Without block,LocalFamily14,Line Creation,Line Creation
1,Line Creation,3340,7020029142_250,0,2016-04-01 14:23:44,User3,Line Creation,Customer Service Representative,TLC Optical Cables,2661.0,767,,,0.0,,Customer 4,US-Std. Order,0070100186,0,IN TIME,0.0,1455490800000.0,Manual,Human,no change ,Without change,no block ,Without block,LocalFamily16,Line Creation,Line Creation
1,Line Creation,3340,7020029142_260,0,2016-04-01 14:23:50,User3,Line Creation,Customer Service Representative,TLC Optical Cables,2423.53,767,,,0.0,,Customer 4,US-Std. Order,0070100186,0,IN TIME,0.0,1451862000000.0,Manual,Human,no change ,Without change,no block ,Without block,LocalFamily14,Line Creation,Line Creation
1,Line Creation,3340,7020029142_30,0,2016-04-01 14:21:22,User3,Line Creation,Customer Service Representative,TLC Optical Cables,2590.67,767,,,0.0,,Customer 4,US-Std. Order,0070100186,0,IN TIME,0.0,1451862000000.0,Manual,Human,no change ,Without change,no block ,Without block,LocalFamily14,Line Creation,Line Creation
1,Line Creation,3340,7020029142_40,0,2016-04-01 14:21:28,User3,Line Creation,Customer Service Representative,TLC Optical Cables,3259.23,767,,,0.0,,Customer 4,US-Std. Order,0070100186,0,IN TIME,0.0,1451862000000.0,Manual,Human,no change ,Without change,no block ,Without block,LocalFamily14,Line Creation,Line Creation
1,Line Creation,3340,7020029142_50,0,2016-04-01 14:21:33,User3,Line Creation,Customer Service Representative,TLC Optical Cables,3635.3,767,,,0.0,,Customer 4,US-Std. Order,0070100186,0,IN TIME,0.0,1451862000000.0,Manual,Human,no change ,Without change,no block ,Without block,LocalFamily14,Line Creation,Line Creation
1,Line Creation,3340,7020029142_60,0,2016-04-01 14:21:39,User3,Line Creation,Customer Service Representative,TLC Optical Cables,2966.74,767,,,0.0,,Customer 4,US-Std. Order,0070100186,0,IN TIME,0.0,1451862000000.0,Manual,Human,no change ,Without change,no block ,Without block,LocalFamily14,Line Creation,Line Creation
1,Line Creation,3340,7020029142_70,0,2016-04-01 14:21:47,User3,Line Creation,Customer Service Representative,TLC Optical Cables,3384.59,767,,,0.0,,Customer 4,US-Std. Order,0070100186,0,IN TIME,0.0,1451862000000.0,Manual,Human,no change ,Without change,no block ,Without block,LocalFamily14,Line Creation,Line Creation
